epoch,train_loss,valid_loss,val_mrr,f1_macro
1,0.9689988733421673,0.9804224864296291,64.75409836065573,0.6627850522543886
2,0.5210591786016118,0.5108646052903023,81.28415300546447,0.8104491420073646
3,0.37379785467277876,0.6462935905741609,77.9143897996357,0.7877189329452838
4,0.2642341766438701,0.3051117369230243,89.29872495446266,0.8929513589549725
5,0.2009576003117995,0.27648790186082106,90.52823315118397,0.9085997607875257
6,0.13306962206959724,0.1983379142601853,93.26047358834244,0.9345257842899996
7,0.08574310947378928,0.17875232725687648,94.44444444444444,0.9454087142493105
8,0.06329371513121507,0.1653130013104258,95.03642987249545,0.9517403270245044
9,0.04386399046263911,0.17641644977519047,94.2167577413479,0.9433609248332566
10,0.038327238891189074,0.1745108401308349,95.03642987249545,0.9519290631695336
